ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
AMRN,0.0,AVOID,13.266,13.266,6.779661016949152,1.0953416282103916,3.57,27.81,6.779661016949152,1.0953416282103916,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AMRX,0.0,AVOID,57.576,57.576,69.49152542372882,20.610317019176343,69.64,39.48,69.49152542372882,20.610317019176343,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ANAB,0.0,AVOID,36.324,36.324,44.06779661016949,-1.064108183067475,42.86,26.52,44.06779661016949,-1.064108183067475,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ANIP,0.0,AVOID,16.882,16.882,11.864406779661016,2.7715546697817928,8.93,28.81,11.864406779661016,2.7715546697817928,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ANL,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ANNX,0.0,AVOID,37.614,37.614,35.59322033898305,26.744091181930948,33.93,43.14,35.59322033898305,26.744091181930948,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ANRO,0.0,AVOID,52.032,52.032,57.6271186440678,28.80143645652514,57.14,44.37,57.6271186440678,28.80143645652514,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
APGE,0.0,AVOID,80.408,80.408,91.52542372881356,57.83056080768452,92.86,61.73,91.52542372881356,57.83056080768452,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
APLS,0.0,AVOID,44.694,44.694,47.45762711864407,24.980722835530408,46.43,42.09,47.45762711864407,24.980722835530408,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AQST,0.0,AVOID,44.748,44.748,44.06779661016949,34.17442283777136,42.86,47.58,44.06779661016949,34.17442283777136,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ARCT,0.0,AVOID,65.154,65.154,72.88135593220339,43.34512750479208,73.21,53.07,72.88135593220339,43.34512750479208,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ARDX,0.0,AVOID,21.034,21.034,28.8135593220339,-24.6867940037179,26.79,12.4,28.8135593220339,-24.6867940037179,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ARGX,0.0,AVOID,48.934,48.934,61.01694915254237,6.87856094661521,60.71,31.27,61.01694915254237,6.87856094661521,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ARQT,0.0,AVOID,43.9,43.9,57.6271186440678,-5.219098369454549,57.14,24.04,57.6271186440678,-5.219098369454549,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ARVN,0.0,AVOID,65.044,65.044,81.35593220338984,20.486787361939072,82.14,39.4,81.35593220338984,20.486787361939072,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ARWR,0.0,AVOID,79.02,79.02,93.22033898305084,47.567865964521125,94.64,55.59,93.22033898305084,47.567865964521125,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ASMB,0.0,AVOID,83.296,83.296,88.57142857142857,77.73630437217835,89.74,73.63,88.57142857142857,77.73630437217835,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ASND,0.0,AVOID,12.74,12.74,3.389830508474576,7.848547571814684,0.0,31.85,3.389830508474576,7.848547571814684,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ATAI,0.0,AVOID,51.774,51.774,64.40677966101694,9.770297512770512,64.29,33.0,64.40677966101694,9.770297512770512,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AUPH,0.0,AVOID,30.21,30.21,30.508474576271187,9.217615856926551,28.57,32.67,30.508474576271187,9.217615856926551,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AURA,0.0,AVOID,54.298,54.298,52.54237288135594,51.6889995294592,51.79,58.06,52.54237288135594,51.6889995294592,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AUTL,0.0,AVOID,71.942,71.942,71.1864406779661,76.2071671768141,71.43,72.71,71.1864406779661,76.2071671768141,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AVBP,0.0,AVOID,90.358,90.358,83.05084745762711,217.77697439844184,83.93,100.0,83.05084745762711,217.77697439844184,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AVIR,0.0,AVOID,18.782,18.782,11.864406779661016,10.711757091261688,8.93,33.56,11.864406779661016,10.711757091261688,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AVTX,0.0,AVOID,53.418,53.418,57.407407407407405,35.16980030545555,56.91,48.18,57.407407407407405,35.16980030545555,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AVXL,0.0,AVOID,65.066,65.066,76.27118644067797,33.99340925135773,76.79,47.48,76.27118644067797,33.99340925135773,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AXSM,0.0,AVOID,12.694,12.694,6.779661016949152,-1.3053240762791276,3.57,26.38,6.779661016949152,-1.3053240762791276,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AZN,0.0,AVOID,18.884,18.884,19.047619047619047,-7.852739018885785,16.5,22.46,19.047619047619047,-7.852739018885785,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BBIO,0.0,AVOID,5.174,5.174,5.084745762711865,-28.28615715179912,1.79,10.25,5.084745762711865,-28.28615715179912,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BBOT,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BCAX,0.0,AVOID,20.302,20.302,16.94915254237288,3.618135015056815,14.29,29.32,16.94915254237288,3.618135015056815,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BCRX,0.0,AVOID,21.31,21.31,18.64406779661017,3.369691577911184,16.07,29.17,18.64406779661017,3.369691577911184,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BCYC,0.0,AVOID,93.754,93.754,94.91525423728814,104.6845377778148,96.43,89.74,94.91525423728814,104.6845377778148,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BDTX,0.0,AVOID,38.722,38.722,37.28813559322034,26.909816682156844,35.71,43.24,37.28813559322034,26.909816682156844,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BEAM,0.0,AVOID,52.2,52.2,62.71186440677966,16.05170250601647,62.5,36.75,62.71186440677966,16.05170250601647,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BHC,0.0,AVOID,36.652,36.652,38.983050847457626,13.755869093632056,37.5,35.38,38.983050847457626,13.755869093632056,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
BHVN,0.0,AVOID,34.288,34.288,32.20338983050847,21.785510968772883,30.36,40.18,32.20338983050847,21.785510968772883,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
