ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
COLL,33.325,33.03,0.8931,,,,,,2026-04-01
CORT,42.08,40.305,4.4039,,,,,,2026-04-01
CPRX,24.945,24.775,0.6862,,,,,,2026-04-01
CRBP,10.26,9.38,9.3817,,,,,,2026-04-01
CRBU,2.005,1.9,5.5263,,,,,,2026-04-01
CRDF,1.685,1.625,3.6923,,,,,,2026-04-01
CRL,174.48,172.53,1.1302,,,,,,2026-04-01
CRMD,6.87,6.795,1.1038,,,,,,2026-04-01
CRNX,35.86,36.32,-1.2665,,,,,,2026-04-01
CRON,2.53,2.515,0.5964,,,,,,2026-04-01
CRSP,49.47,47.52,4.1035,,,,,,2026-04-01
CRVS,14.69,14.65,0.273,,,,,,2026-04-01
CSTL,25.145,24.55,2.4236,,,,,,2026-04-01
CTKB,4.605,4.38,5.137,,,,,,2026-04-01
CTMX,4.76,4.7,1.2766,,,,,,2026-04-01
CTNM,13.42,13.05,2.8352,,,,,,2026-04-01
CYRX,8.61,8.27,4.1112,,,,,,2026-04-01
CYTK,66.77,65.9,1.3202,,,,,,2026-04-01
DAWN,21.425,21.435,-0.0467,,,,,,2026-04-01
DBVT,21.67,20.96,3.3874,,,,,,2026-04-01
DFTX,20.105,18.89,6.432,,,,,,2026-04-01
DMAC,6.66,6.77,-1.6248,,,,,,2026-04-01
DNA,6.375,6.115,4.2518,,,,,,2026-04-01
DNLI,19.65,19.18,2.4505,,,,,,2026-04-01
DNTH,86.445,83.87,3.0702,,,,,,2026-04-01
DRUG,74.1,72.745,1.8627,,,,,,2026-04-01
DSGN,11.05,10.63,3.9511,,,,,,2026-04-01
DTIL,5.75,5.51,4.3557,,,,,,2026-04-01
DYN,18.545,18.12,2.3455,,,,,,2026-04-01
EBS,8.38,8.295,1.0247,,,,,,2026-04-01
EDIT,2.69,2.475,8.6869,,,,,,2026-04-01
EIKN,10.59,9.725,8.8946,,,,,,2026-04-01
ELAN,23.655,23.935,-1.1698,,,,,,2026-04-01
ELDN,3.12,3.08,1.2987,,,,,,2026-04-01
ELTX,10.73,10.09,6.3429,,,,,,2026-04-01
ELVN,38.35,39.13,-1.9934,,,,,,2026-04-01
ENGN,6.86,6.79,1.0309,,,,,,2026-04-01
ENTA,13.195,12.605,4.6807,,,,,,2026-04-01
EOLS,4.3,4.11,4.6229,,,,,,2026-04-01
EPRX,7.25,6.59,10.0152,,,,,,2026-04-01
EQ,2.11,1.98,6.5657,,,,,,2026-04-01
ERAS,16.4,16.17,1.4224,,,,,,2026-04-01
ESPR,2.705,2.74,-1.2774,,,,,,2026-04-01
ETON,25.34,24.68,2.6742,,,,,,2026-04-01
EVMN,24.57,23.0,6.8261,,,,,,2026-04-01
EWTX,32.57,31.49,3.4297,,,,,,2026-04-01
EXAS,104.94,103.88,1.0204,,,,,,2026-04-01
EXEL,43.595,42.89,1.6437,,,,,,2026-04-01
FATE,1.235,1.205,2.4896,23.5494,1.93,0.6622,-36.0104,86.4995,2026-04-01
FBIO,2.86,2.81,1.7794,,4.52,1.33,-36.7257,115.0376,2026-04-01
FBRX,24.385,25.44,-4.147,,,,,,2026-04-01
FDMT,9.72,9.29,4.6286,,,,,,2026-04-01
FENC,6.33,6.155,2.8432,,,,,,2026-04-01
FLGT,16.42,15.9,3.2704,,,,,,2026-04-01
FOLD,14.455,14.455,0.0,,,,,,2026-04-01
FTRE,9.68,9.41,2.8693,,,,,,2026-04-01
