ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
HRMY,"Harmony Biosciences Holdings, I",NASDAQ,35202010,Pharmaceuticals,1644119424.0,32948556.49237779,small_cap,False,False,EDGAR,2026-03-19
OCS,Oculis Holding AG,NASDAQ,35202010,Pharmaceuticals,1560941184.0,10468702.216636023,small_cap,False,False,EDGAR,2026-03-19
CAPR,"Capricor Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,1519644032.0,38324620.49205411,small_cap,False,False,EDGAR,2026-03-19
PRGO,Perrigo Company plc,NYSE,35202010,Pharmaceuticals,1482898688.0,43057959.29915968,small_cap,False,False,EDGAR,2026-03-19
GENB,"Generate Biomedicines, Inc.",NASDAQ,35202010,Pharmaceuticals,1428716800.0,14752410.63672672,small_cap,False,False,EDGAR,2026-03-19
QDEL,QuidelOrtho Corporation,NASDAQ,35203010,Life Science Tools & Services,1417462400.0,31146534.58164692,small_cap,False,False,EDGAR,2026-03-19
HROW,"Harrow, Inc.",NASDAQ,35202010,Pharmaceuticals,1347237376.0,36576969.31447665,small_cap,False,False,EDGAR,2026-03-19
IMTX,Immatics N.V.,NASDAQ,35201010,Biotechnology,1317874304.0,5310262.558739217,small_cap,False,False,EDGAR,2026-03-19
MLTX,MoonLake Immunotherapeutics,NASDAQ,35202010,Pharmaceuticals,1299171072.0,20154743.53765208,small_cap,False,False,EDGAR,2026-03-19
IVA,Inventiva S.A. - American Depos,NASDAQ,35202010,Pharmaceuticals,1273432448.0,2154340.011654218,small_cap,False,False,EDGAR,2026-03-19
DBVT,DBV Technologies S.A.,NASDAQ,35201010,Biotechnology,1217329664.0,5877109.937426504,small_cap,False,False,EDGAR,2026-03-19
COLL,"Collegium Pharmaceutical, Inc.",NASDAQ,35202010,Pharmaceuticals,1182727808.0,17757879.15105502,small_cap,False,False,EDGAR,2026-03-19
AKTS,"Aktis Oncology, Inc.",NASDAQ,35202010,Pharmaceuticals,1042708800.0,4556256.929580371,small_cap,False,False,EDGAR,2026-03-19
VTYX,"Ventyx Biosciences, Inc.",NASDAQ,35202010,Pharmaceuticals,1004502016.0,45105954.76162537,small_cap,False,False,EDGAR,2026-03-19
NNNN,Anbio Biotechnology,NASDAQ,35203010,Life Science Tools & Services,999402624.0,1400138.939175733,small_cap,False,False,EDGAR,2026-03-19
CRON,Cronos Group Inc. Common Share,NASDAQ,35202010,Pharmaceuticals,992278336.0,2902408.9664224624,small_cap,False,False,EDGAR,2026-03-19
XERS,"Xeris Biopharma Holdings, Inc.",NASDAQ,35202010,Pharmaceuticals,964020096.0,12489697.642012835,small_cap,False,False,EDGAR,2026-03-19
PCRX,"Pacira BioSciences, Inc.",NASDAQ,35202010,Pharmaceuticals,946898304.0,18854309.535998788,small_cap,False,False,EDGAR,2026-03-19
SDGR,"Schrodinger, Inc.",NASDAQ,35202010,Pharmaceuticals,941639232.0,19088854.540620167,small_cap,False,False,EDGAR,2026-03-19
SLS,"SELLAS Life Sciences Group, Inc",NASDAQ,35202010,Pharmaceuticals,939105408.0,30298649.304208595,small_cap,False,False,EDGAR,2026-03-19
